id_start,id_end,moto,car,rv,bus,truck
1001400,1001402,7.76,11.639999999999999,14.549999999999999,21.34,34.92
1001400,1001404,23.92,35.879999999999995,44.849999999999994,65.78,107.64
1001400,1001406,36.72,55.08,68.85,100.98,165.24
1001400,1001408,54.08,81.11999999999999,101.39999999999999,148.72,243.35999999999999
1001400,1001410,62.959999999999994,94.43999999999998,118.04999999999998,173.14,283.32
1001400,1001412,75.43999999999998,113.15999999999998,141.45,207.45999999999998,339.47999999999996
1001400,1001414,90.0,134.99999999999997,168.74999999999997,247.5,404.99999999999994
1001400,1001416,100.56,150.83999999999997,188.54999999999998,276.54,452.52
1001400,1001418,111.44,167.15999999999997,208.95,306.46,501.47999999999996
1001400,1001420,121.75999999999999,182.64,228.29999999999998,334.84,547.92
1001400,1001422,129.44,194.15999999999997,242.7,355.96,582.4799999999999
1001400,1001424,138.56,207.83999999999997,259.79999999999995,381.04,623.52
1001400,1001426,153.44,230.15999999999997,287.7,421.96,690.4799999999999
1001400,1001428,166.08,249.11999999999998,311.4,456.72,747.36
1001400,1001430,172.96,259.44,324.29999999999995,475.64,778.3199999999999
1001400,1001432,180.16,270.23999999999995,337.79999999999995,495.44,810.72
1001400,1001434,186.48000000000002,279.71999999999997,349.65,512.82,839.16
1001400,1001436,189.68,284.52,355.65,521.62,853.56
1001400,1001437,193.68,290.52,363.15,532.62,871.56
1001400,1001438,196.88,295.32,369.15,541.4200000000001,885.96
1001400,1001440,204.88000000000002,307.32,384.15000000000003,563.4200000000001,921.9600000000002
1001400,1001442,208.0,312.0,390.0,572.0,936.0
1001400,1001444,218.56,327.84,409.79999999999995,601.0400000000001,983.52
1001400,1001446,223.84000000000003,335.76,419.70000000000005,615.5600000000001,1007.2800000000001
1001400,1001448,231.51999999999998,347.28,434.09999999999997,636.68,1041.84
1001400,1001450,244.08000000000004,366.12,457.65000000000003,671.2200000000001,1098.3600000000001
1001400,1001452,252.0,378.0,472.5,693.0,1134.0
1001400,1001454,261.04,391.56,489.45000000000005,717.8600000000001,1174.68
1001400,1001456,271.92,407.87999999999994,509.84999999999997,747.78,1223.6399999999999
1001400,1001458,279.04,418.56,523.2,767.3600000000001,1255.68
1001400,1001460,283.12,424.67999999999995,530.8499999999999,778.58,1274.04
1001400,1001461,293.36,440.03999999999996,550.05,806.74,1320.12
1001400,1001462,297.44,446.1599999999999,557.6999999999999,817.9599999999999,1338.4799999999998
1001400,1001464,318.8,478.2,597.75,876.7,1434.6000000000001
1001400,1001466,325.6,488.4,610.5,895.4000000000001,1465.2
1001400,1001468,334.16,501.23999999999995,626.55,918.94,1503.72
1001400,1001470,342.64,513.9599999999999,642.4499999999999,942.26,1541.8799999999999
1001400,1001472,355.44,533.16,666.4499999999999,977.4599999999999,1599.4799999999998
1001400,1001488,211.60000000000002,317.4,396.75,581.9000000000001,952.2
1001400,1004354,216.4,324.59999999999997,405.75,595.1,973.8000000000001
1001400,1004355,218.0,327.0,408.75,599.5,981.0
1001400,1004356,214.8,322.2,402.75,590.7,966.6
